Unit ,Suplier ,Make ,Category,Sub Category,Description,Unit Price $,MRSP
R165-S,AUTOMOB,Rockford Fosgate,,,"Prime 6.5"" Component System",90,149.99
R1675-S,AUTOMOB,Rockford Fosgate,,,"Prime 6.75"" Component System",90,149.99
R1T-S,AUTOMOB,Rockford Fosgate,,,"Prime 1"" Tweeter Kit",46,89.99
R14X2,AUTOMOB,Rockford Fosgate,,,"Prime 4"" 2-Way Full-Range Speaker",42,89.99
R1525X2,AUTOMOB,Rockford Fosgate,,,"Prime 5.25"" 2-Way Full-Range Speaker.",50,99.99
R165X3,AUTOMOB,Rockford Fosgate,,,"Prime 6.50"" 3-Way Full-Range Speaker",52,99.99
R1675X2,AUTOMOB,Rockford Fosgate,,,"Prime 6.75"" 2-Way Full-Range Speaker",52,99.99
R168X2,AUTOMOB,Rockford Fosgate,,,"Prime 6""x8"" 2-Way Full-Range Speaker",63,109.99
R169X2,AUTOMOB,Rockford Fosgate,,,"Prime 6""x9"" 2-Way Full-Range Speaker",65,109.99
R169X3,AUTOMOB,Rockford Fosgate,,,"Prime 6""x9"" 3-Way Full-Range Speaker",72,129.99
PPS4-6,AUTOMOB,Rockford Fosgate,,,"Punch Pro 6.5"" 4-Ohm Midrange",104,199.99
PPS4-8,AUTOMOB,Rockford Fosgate,,,"Punch Pro 8"" 4-Ohm Midrange/Midbass",115,209.99
PPS4-10,AUTOMOB,Rockford Fosgate,,,"Punch Pro 10"" 4-Ohm Midrange",291,499.99
PP4-T,AUTOMOB,Rockford Fosgate,,,"Punch Pro 1.5"" 4-Ohm Tweeter",117,209.99
PP4-NT,AUTOMOB,Rockford Fosgate,,,"Punch Pro 1"" 4-Ohm Neodymium Tweeter",151,269.99
PP4-X,AUTOMOB,Rockford Fosgate,,,Punch Pro 4-Ohm Passive Crossover,117,209.99
PMX-8BB,AUTOMOB,Rockford Fosgate,,,Punch Marine Hide-Away AM/FM/WP Digital Media Receiver,528,849.99
PMX-8DH,AUTOMOB,Rockford Fosgate,,,"Punch Marine Full Function Wired 5"" TFT Display Head",367,589.99
PMX-5CAN,AUTOMOB,Rockford Fosgate,,,"Punch Marine AM/FM/WB Digital Media Receiver 2.7"" Display w/ CAN bus",504,809.99
PMX-3,AUTOMOB,Rockford Fosgate,,,"Compact Digital Media Receiver w/ 2.7"" Display",477,749.99
PMX-2,AUTOMOB,Rockford Fosgate,,,"Punch Marine Compact AM/FM/WB Digital Media Receiver 2.7"" Display",380,609.99
PMX-1,AUTOMOB,Rockford Fosgate,,,"Punch Marine Grade Media Receiver with 2.3"" Dot Matrix Display",301,479.99
PMX-0,AUTOMOB,Rockford Fosgate,,,Punch Marine Ultra Compact Digital Media Receiver,187,299.99
PMX-CAN,AUTOMOB,Rockford Fosgate,,,CANbus Display Interface Module,239,409.99
PMX-1R,AUTOMOB,Rockford Fosgate,,,"Punch Marine Full Function Wired Remote 2.7"" Display",248,399.99
PMX-BTUR,AUTOMOB,Rockford Fosgate,,,Bluetooth Universal Remote,117,199.99
PMX16C,AUTOMOB,Rockford Fosgate,,,Punch Marine 16 Foot Extension Cable,49,89.99
PMX25C,AUTOMOB,Rockford Fosgate,,,Punch Marine 25 Foot Extension Cable,59,119.99
PMX50C,AUTOMOB,Rockford Fosgate,,,Punch Marine 50 Foot Extension Cable,102,179.99
PMXYC,AUTOMOB,Rockford Fosgate,,,Punch Marine Y-Adaptor Cable,39,79.99
PAUX,AUTOMOB,Rockford Fosgate,,,Punch Universal Auxiliary Input Port,55,99.99
PMX-USBP ,AUTOMOB,Rockford Fosgate,,,Universal USB Port with Hinged Cover,37,64.99
PMX-ANT,AUTOMOB,Rockford Fosgate,,,AM/FM/WB Amplified 12V Antenna,70,139.99
M5-800X4,AUTOMOB,Rockford Fosgate,,,,575,969.99
M5-1500X5,AUTOMOB,Rockford Fosgate,,,,864,1439.99
M5-1000X1,AUTOMOB,Rockford Fosgate,,,,519,969.99
PM300X2,AUTOMOB,Rockford Fosgate,,,Punch Marine 300 Watt 2-Channel Amplifier,296,539.99
PM500X2,AUTOMOB,Rockford Fosgate,,,Punch Marine 500 Watt 2-Channel Amplifier,471,839.99
PM400X4,AUTOMOB,Rockford Fosgate,,,Punch Marine 400 Watt 4-Channel Amplifier,436,789.99
PM600X4,AUTOMOB,Rockford Fosgate,,,Punch Marine 600 Watt 4-Channel Amplifier,555,999.99
PM1000X5,AUTOMOB,Rockford Fosgate,,,"Punch Marine 1,000 Watt Class-bd 5-Channel Amplifier",709,1259.99
PM100X1K,AUTOMOB,Rockford Fosgate,,,Punch Marine 100 Watt Full-Range Mono Amplifier (pair),260,469.99
PM500X1BD,AUTOMOB,Rockford Fosgate,,,Punch Marine 500 Watt Class-bd Mono Amplifier,471,839.99
PM1000X1BD,AUTOMOB,Rockford Fosgate,,,"Punch Marine 1,000 Watt Class-bd Mono Amplifier",591,1049.99
M2-200X2,AUTOMOB,Rockford Fosgate,,,,246,409.99
M2-300X4,AUTOMOB,Rockford Fosgate,,,,291,479.99
M2-500X1,AUTOMOB,Rockford Fosgate,,,,291,479.99
M2-750X5,AUTOMOB,Rockford Fosgate,,,,471,759.99
PMX-RGB,AUTOMOB,Rockford Fosgate,,,Color Optix™ Light Controller with Optional App Interface,83,149.99
RGB-6C,AUTOMOB,Rockford Fosgate,,,6 ft Color Optix™ Extension Cable for PMX-RGB,21,34.99
RGB-16C,AUTOMOB,Rockford Fosgate,,,16 ft Color Optix™ Extension Cable for PMX-RGB,25,45.99
RGB-25C,AUTOMOB,Rockford Fosgate,,,25 ft Color Optix™ Extension Cable for PMX-RGB,30,59.99
RGB-YC,AUTOMOB,Rockford Fosgate,,,Y adapter Color Optix™ Cable for PMX-RGB,21,34.99
M2D2-10I,AUTOMOB,Rockford Fosgate,,,"10"" DVC 2Ω Color Optix™ Infinite Baffle Marine Subwoofer",369,669.99
M2D2-10IB,AUTOMOB,Rockford Fosgate,,,"10"" DVC 2Ω Color Optix™ Infinite Baffle Marine Subwoofer",369,669.99
M2D4-10I,AUTOMOB,Rockford Fosgate,,,"10"" DVC 4Ω Color Optix™ Infinite Baffle Marine Subwoofer",369,669.99
M2D4-10IB,AUTOMOB,Rockford Fosgate,,,"10"" DVC 4Ω Color Optix™ Infinite Baffle Marine Subwoofer - Black",369,669.99
M2D2-10S ,AUTOMOB,Rockford Fosgate,,,,369,669.99
M2D2-10SB ,AUTOMOB,Rockford Fosgate,,,,369,669.99
M2D4-10S ,AUTOMOB,Rockford Fosgate,,,,369,669.99
M2D4-10SB ,AUTOMOB,Rockford Fosgate,,,,369,669.99
M2D2-12I ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D2-12IB ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D4-12I ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D4-12IB ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D2-12S ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D2-12SB ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D4-12S ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M2D4-12SB ,AUTOMOB,Rockford Fosgate,,,,473,819.99
M1D2-8,AUTOMOB,Rockford Fosgate,,,"8"" DVC 2Ω Color Optix™ Marine Subwoofer",206,369.99
M1D2-8B,AUTOMOB,Rockford Fosgate,,,"8"" DVC 2Ω Color Optix™ Marine Subwoofer - Black",206,369.99
M1D4-8,AUTOMOB,Rockford Fosgate,,,"8"" DVC 4Ω Color Optix™ Marine Subwoofer",206,369.99
M1D4-8B,AUTOMOB,Rockford Fosgate,,,"8"" DVC 4Ω Color Optix™ Marine Subwoofer - Black",206,369.99
M1D2-10,AUTOMOB,Rockford Fosgate,,,"10"" DVC 2Ω Color Optix™ Marine Subwoofer",214,379.99
M1D2-10B,AUTOMOB,Rockford Fosgate,,,"10"" DVC 2Ω Color Optix™ Marine Subwoofer - Black",214,379.99
M1D4-10,AUTOMOB,Rockford Fosgate,,,"10"" DVC 4Ω Color Optix™ Marine Subwoofer",214,379.99
M1D4-10B,AUTOMOB,Rockford Fosgate,,,"10"" DVC 4Ω Color Optix™ Marine Subwoofer - Black",214,379.99
M1D2-12,AUTOMOB,Rockford Fosgate,,,"12"" DVC 2Ω Color Optix™ Marine Subwoofer",267,469.99
M1D2-12B,AUTOMOB,Rockford Fosgate,,,"12"" DVC 2Ω Color Optix™ Marine Subwoofer - Black",267,469.99
M1D4-12,AUTOMOB,Rockford Fosgate,,,"12"" DVC 4Ω Color Optix™ Marine Subwoofer",267,469.99
M1D4-12B,AUTOMOB,Rockford Fosgate,,,"12"" DVC 4Ω Color Optix™ Marine Subwoofer - Black",267,469.99
M2-65,AUTOMOB,Rockford Fosgate,,,6.5” Color Optix™ Marine 2-Way System,393,699.99
M2-65B,AUTOMOB,Rockford Fosgate,,,6.5” Color Optix™ Marine 2-Way System - Black,393,699.99
M2-8,AUTOMOB,Rockford Fosgate,,,8” Color Optix™ Marine 2-Way System,442,799.99
M2-8B,AUTOMOB,Rockford Fosgate,,,8” Color Optix™ Marine 2-Way System - Black,442,799.99
M2-TS,AUTOMOB,Rockford Fosgate,,,"1"" Marine Tweeter Kit",171,309.99
M1-6,AUTOMOB,Rockford Fosgate,,,6” Color Optix™ Marine 2-Way System,224,409.99
M1-6B,AUTOMOB,Rockford Fosgate,,,6” Color Optix™ Marine 2-Way System - Black,224,409.99
M1-65,AUTOMOB,Rockford Fosgate,,,6.5” Color Optix™ Marine 2-Way System,224,409.99
M1-65B,AUTOMOB,Rockford Fosgate,,,6.5” Color Optix™ Marine 2-Way System - Black,224,409.99
M1-8,AUTOMOB,Rockford Fosgate,,,8” Color Optix™ Marine 2-Way System,298,529.99
M1-8B,AUTOMOB,Rockford Fosgate,,,8” Color Optix™ Marine 2-Way System - Black,298,529.99
M0-65,AUTOMOB,Rockford Fosgate,,,"M0 6.5"" Marine Grade Speakers - White",130,229.99
M0-65B,AUTOMOB,Rockford Fosgate,,,"M0 6.5"" Marine Grade Speakers - Black",130,229.99
M2WL-8,AUTOMOB,Rockford Fosgate,,,M2 8” Color Optix™ 2-Way Wake Tower Speakers,1153,1819.99
M2WL-8B,AUTOMOB,Rockford Fosgate,,,M2 8” Color Optix™ 2-Way Wake Tower Speakers - Black,1153,1819.99
M2WL-8HB ,AUTOMOB,Rockford Fosgate,,,,1378,2179.99
M2WL-8HB ,AUTOMOB,Rockford Fosgate,,,,1378,2179.99
M2WL-65MB ,AUTOMOB,Rockford Fosgate,,,,911,1459.99
M1WL-65MB,AUTOMOB,Rockford Fosgate,,,,739,1179.99
M0WL-65MB ,AUTOMOB,Rockford Fosgate,,,,628,999.99
RZR14-STG1,AUTOMOB,Rockford Fosgate,,,,872,1319.99
RZR14-STG2,AUTOMOB,Rockford Fosgate,,,,1569,2379.99
RZR14-STG3,AUTOMOB,Rockford Fosgate,,,,2447,3749.99
RZR14-STG4,AUTOMOB,Rockford Fosgate,,,,3226,4999.99
RZR14-STG5,AUTOMOB,Rockford Fosgate,,,,4117,6259.99
RZR14-STG6,AUTOMOB,Rockford Fosgate,,,,4562,7019.99
RZR14RC-STG3,AUTOMOB,Rockford Fosgate,,,,2003,3139.99
RZR14RC-STG4,AUTOMOB,Rockford Fosgate,,,,2781,4259.99
RZR14RC-STG5 ,AUTOMOB,Rockford Fosgate,,,,3670,5639.99
RZR14RC-STG6 ,AUTOMOB,Rockford Fosgate,,,,4117,6259.99
GNRL-STAGE1 ,AUTOMOB,Rockford Fosgate,,,,489,699.99
GNRL-STAGE2,AUTOMOB,Rockford Fosgate,,,Stereo and front lower speaker kit for select Polaris GENERAL™ models,953,1399.99
GNRL-STAGE3,AUTOMOB,Rockford Fosgate,,,"400 watt stereo, front lower speaker, and subwoofer kit for select Polaris GENERAL™ models",1952,2899.99
GNRL-STAGE4,AUTOMOB,Rockford Fosgate,,,"400 watt stereo, front lower speaker, rear speaker, and subwoofer kit for select Polaris GENERAL™ models",2614,3899.99
GNRL-REAR,AUTOMOB,Rockford Fosgate,,,Add-on Rear Speaker Kit for use with GNRL-STAGE2 and GNRL-STAGE3 Kits,754,1149.99
RNGR18-STG1,AUTOMOB,Rockford Fosgate,,,Ranger Stage-1 Audio System,674,999.99
RNGR-STAGE1,AUTOMOB,Rockford Fosgate,,,Stereo kit for select RANGER® models,489,699.99
RNGR-STAGE2,AUTOMOB,Rockford Fosgate,,,Stereo and front lower speaker kit for select RANGER® models,953,1399.99
RNGR-STAGE3,AUTOMOB,Rockford Fosgate,,,"400 watt stereo, front lower speaker, and subwoofer kit for select RANGER® models",1952,2899.99
RNGR-STAGE4,AUTOMOB,Rockford Fosgate,,,"400 watt stereo, front lower speaker, rear speaker, and subwoofer kit for select Polaris RANGER® models",2614,3899.99
RNGR-REAR,AUTOMOB,Rockford Fosgate,,,Add-on Rear Speaker Kit for use with RNGR-STAGE2 and RNGR-STAGE3 Kits,754,1149.99
X317-STG1,AUTOMOB,Rockford Fosgate,,,PMX-1 and Front Element ReadyTM Speaker Kit for Select X3 Models,872,1319.99
X317-STG2,AUTOMOB,Rockford Fosgate,,,"PMX-1, Front & Rear Element ReadyTM Speaker Kit for Select Can-Am® Maverick X3 Models",1569,2379.99
X317-STG3,AUTOMOB,Rockford Fosgate,,,"PMX-2, 800 Watt, Front Color OptixTM Speaker and Subwoofer Kit for Select X3 Models",2447,3749.99
X317-STG4,AUTOMOB,Rockford Fosgate,,,"PMX-2, 800 Watt, Front Color OptixTM Speaker, Subwoofer & Rear Speaker Kit for Select X3 Models",3226,4999.99
X317-STG5,AUTOMOB,Rockford Fosgate,,,"PMX-3, 1500 Watt, Front Color OptixTM Speaker, Dual Subwoofer and Rear Speaker Kit for Select X3 Models",4562,7019.99
X317-STG6,AUTOMOB,Rockford Fosgate,,,"PMX-3, 1500 Watt, Front Color OptixTM Speaker, Dual Subwoofer and Rear Horn Speaker Kit for Select X3 Models",5009,7509.99
YXZ-STAGE1,AUTOMOB,Rockford Fosgate,,,Stereo Kit for select YXZ® models,489,699.99
YXZ-STAGE2,AUTOMOB,Rockford Fosgate,,,Stereo and Front Speaker Kit for select YXZ® models,953,1399.99
YXZ-STAGE3,AUTOMOB,Rockford Fosgate,,,"400 Watt Amplified Stereo, Front Speaker and Subwoofer Kit for select YXZ® models",1952,2899.99
YXZ-STAGE4,AUTOMOB,Rockford Fosgate,,,"400 Watt Amplified Stereo, Front Lower Speaker, Subwoofer, and Rear Speaker Kit for select YXZ®",2614,3899.99
MOTO-REAR2,AUTOMOB,Rockford Fosgate,,,Add-on Rear Speaker Kit for use with YXZ-STAGE2 and YXZ-STAGE3 Kits,528,799.99
YXZ-UPPER,AUTOMOB,Rockford Fosgate,,,Add-on Front Upper Speaker Kit for use with YXZ-STAGE2 and YXZ-STAGE3 Kits,658,999.99
MX-CAM,AUTOMOB,Rockford Fosgate,,,Motorsports Camera Kit with PMX Compatibility,94,159.99
MX-CAM-RZR14,AUTOMOB,Rockford Fosgate,,,Camera Plug and Play Harness and Mounting Kit for Select RZR Models,83,139.99
MX-CAM-X317,AUTOMOB,Rockford Fosgate,,,Camera Plug and Play Harness and Mounting Kit for Select X3 Models,83,139.99
MX-CAM-RNGR18,AUTOMOB,Rockford Fosgate,,,Camera Plug and Play Harness and Mounting Kit for Select Ranger Models,98,159.99
HD14RGSG-STAGE2,AUTOMOB,Rockford Fosgate,,,2014+ Harley-Davidson® Road Glide® & Street Glide® 2 Speaker & Amp Kit,1116,1739.99
HD14RGSG-STAGE3,AUTOMOB,Rockford Fosgate,,,2014+ Harley-Davidson® Road Glide® & Street Glide® 4 Speaker & Amp Kit,1716,2669.99
HD14CVO-STAGE2,AUTOMOB,Rockford Fosgate,,,2014+ Harley-Davidson® Road Glide® CVO & Street Glide® CVO 4 Speaker & Amp Kit,1471,2289.99
HD14CVO-STAGE3,AUTOMOB,Rockford Fosgate,,,2014+ Harley-Davidson® Road Glide® CVO® & Street Glide® CVO 6 Speaker & Amp Kit,1837,2849.99
HD14U-STAGE2,AUTOMOB,Rockford Fosgate,,,2014+ Harley-Davidson® Road Glide® Ultra & Street Glide® Ultra 4 Speaker & Amp Kit,1480,2289.99
HD14U-STAGE3,AUTOMOB,Rockford Fosgate,,,2014+ Harley-Davidson® Road Glide® Ultra & Street Glide® Ultra 6 Speaker & Amp Kit,2083,3249.99
HD14RK-STAGE2,AUTOMOB,Rockford Fosgate,,,Kit for Select 2014+ Road King Motorcycles,1378,2149.99
HD9813RG-STAGE1,AUTOMOB,Rockford Fosgate,,,1998-2013 Harley-Davidson® Road Glide® Source Unit & 2 Speaker Kit,1114,1719.99
HD9813RG-STAGE2,AUTOMOB,Rockford Fosgate,,,"1998-2013 Harley-Davidson® Road Glide® Source Unit, 2 Speaker & Amp Kit",1857,2889.99
HD9813RG-STAGE3,AUTOMOB,Rockford Fosgate,,,"1998-2013 Harley-Davidson® Road Glide® Source Unit, 4 Speaker & Amp Kit",2460,3829.99
HD9813SG-STAGE1,AUTOMOB,Rockford Fosgate,,,1998-2013 Harley-Davidson® Street Glide® Source Unit & 2 Speaker Kit,1114,1719.99
HD9813SG-STAGE2,AUTOMOB,Rockford Fosgate,,,"1998-2013 Harley-Davidson® Street Glide® Source Unit, 2 Speaker & Amp Kit",1857,2889.99
HD9813SG-STAGE3,AUTOMOB,Rockford Fosgate,,,"1998-2013 Harley-Davidson® Street Glide® Source Unit, 4 Speaker & Amp Kit",2460,3829.99
