Date,Hours Spent in Zoom,Hours Spent Studying,Hours Spent Sleeping,Number of times leaving the house,Did you watch the news today ?,Accessed Social Media,Level of Cleaniness,KiloMeters Walked,SemeterAttended
1/9/2023,1.5,2,8.83,1,No,Yes,3,1.6,W23
1/10/2023,0,2,8.78,0,No,Yes,1,1.69,W23
1/11/2023,2,2,9.51,2,No,Yes,2,2.18,W23
1/12/2023,5,0,10,1,No,Yes,1,2.95,W23
1/13/2023,2,6,8,0,No,No,5,5.22,W23
1/14/2023,0,0,8,3,No,Yes,5,7.7,W23
1/15/2023,0,2,8,0,No,No,1,2.01,W23
1/16/2023,4,3,8.75,1,Yes,Yes,3,8.42,W23
1/17/2023,0,3,7,1,No,No,3,2.81,W23
1/18/2023,2,0,8,2,Yes,No,1,5.09,W23
1/19/2023,7,4,7.83,0,No,Yes,2,2.19,W23
1/20/2023,2,6,7.35,1,No,Yes,5,3.11,W23
1/21/2023,0,0,6,4,No,No,5,7.63,W23
1/22/2023,0,0,6,0,Yes,No,5,2.86,W23
1/23/2023,4,6,6.7,1,No,Yes,1,6.92,W23
1/24/2023,0,4,6,2,No,No,3,5.95,W23
1/25/2023,2,3,8.2,1,Yes,No,5,1.47,W23
1/26/2023,7,4,7.66,1,No,No,2,4,W23
1/27/2023,2,6,6.18,2,No,Yes,5,3.48,W23
1/28/2023,0,0,8,4,No,Yes,3,6.13,W23
1/29/2023,0,2,8.43,3,No,No,1,6.73,W23
1/30/2023,4,4,7.33,1,No,Yes,3,6.12,W23
1/31/2023,0,5,6.63,2,No,No,2,5.31,W23
2/1/2023,2,5,7.62,1,No,No,4,4.54,W23
2/2/2023,7,2,7.26,0,No,No,5,1.53,W23
2/3/2023,2,4,6,2,No,Yes,3,4.93,W23
2/4/2023,0,0,6,1,No,Yes,5,5.19,W23
2/5/2023,0,2,6.26,1,No,No,4,2.41,W23
2/6/2023,4,5,7.33,2,No,Yes,5,2.86,W23
2/7/2023,0,4,7,1,No,Yes,4,3.69,W23
2/8/2023,2,2,8.06,2,No,Yes,1,3.8,W23
2/9/2023,7,0,7.5,1,No,Yes,3,1.38,W23
2/10/2023,2,2,7.5,2,No,Yes,5,5.43,W23
2/11/2023,0,5,8.5,2,No,Yes,2,4.01,W23
2/12/2023,0,0,8,2,No,No,1,2.94,W23
2/13/2023,4,5,8.28,3,No,Yes,3,6.2,W23
2/14/2023,0,3,6.75,2,No,Yes,2,4.51,W23
2/15/2023,2,5,7.5,2,No,Yes,4,2.78,W23
2/16/2023,7,5,7.45,0,No,Yes,4,1.33,W23
2/17/2023,2,2,8,2,No,No,4,2.56,W23
2/18/2023,0,4,8,0,No,Yes,4,3.57,W23
2/19/2023,0,0,8,2,No,Yes,1,2.29,W23
2/20/2023,0,5,9,1,No,Yes,1,3.32,W23
2/21/2023,0,6,7.75,1,No,Yes,2,2.54,W23
2/22/2023,2,5,8,2,No,Yes,3,4.12,W23
2/23/2023,7,2,7,0,No,No,3,2.5,W23
2/24/2023,2,0,7.5,3,No,No,3,6.7,W23
2/25/2023,0,0,8,2,No,Yes,3,5.91,W23
2/26/2023,0,5,10,0,No,Yes,1,1.49,W23
2/27/2023,0,4,8.5,1,No,Yes,4,4.85,W23
2/28/2023,0,5,7,1,No,Yes,4,5.24,W23
3/1/2023,0,2,7.05,1,Yes,Yes,5,4.44,W23
3/2/2023,0,2,6,1,No,Yes,5,4.04,W23
3/3/2023,0,2,6,2,Yes,Yes,5,7.72,W23
3/4/2023,0,0,8,3,No,No,4,4.75,W23
3/5/2023,0,0,8,1,No,Yes,1,2.24,W23
3/6/2023,4,4,8,1,No,Yes,2,6.88,W23
3/7/2023,0,4,9.5,2,Yes,Yes,3,4.88,W23
3/8/2023,2,0,6,2,No,No,2,5.58,W23
3/9/2023,7,0,8,0,Yes,Yes,1,2.39,W23
3/10/2023,2,8,8,1,No,Yes,2,4.08,W23
3/11/2023,0,0,8,3,Yes,Yes,5,6.26,W23
3/12/2023,0,0,6,1,Yes,No,1,3.13,W23
3/13/2023,4,4,8.25,1,Yes,No,2,6.97,W23
3/14/2023,0,4,8,2,No,Yes,5,5.54,W23
3/15/2023,2,4,8.5,1,No,Yes,5,3.59,W23
3/16/2023,7,4,6,1,No,Yes,5,2.79,W23
3/17/2023,2,8,9,2,No,Yes,3,6.23,W23
3/18/2023,0,4,8,2,Yes,Yes,1,7.54,W23
3/19/2023,0,4,8.5,1,No,Yes,3,3.17,W23
3/20/2023,4,5,8.8,1,Yes,Yes,3,6.59,W23
3/21/2023,0,4,8,1,Yes,Yes,5,3.62,W23
3/22/2023,2,4,8.5,1,Yes,Yes,5,4.81,W23
3/23/2023,5,4,7.5,2,Yes,Yes,4,3.54,W23
3/24/2023,2,4,7.5,2,Yes,Yes,5,6.33,W23
3/25/2023,0,0,9,1,No,Yes,5,3.84,W23
3/26/2023,0,4,10,1,No,Yes,1,3.24,W23
3/27/2023,4,5,9,3,Yes,Yes,5,7.64,W23
3/28/2023,0,6,8.5,1,Yes,No,5,6.29,W23
3/29/2023,2,4,9,1,Yes,No,4,4.25,W23
3/30/2023,7,5,8.5,1,Yes,Yes,5,5.2,W23
3/31/2023,2,2,8,2,Yes,Yes,4,6.72,W23
4/1/2023,0,4,10,2,Yes,Yes,3,9.4,W23
4/2/2023,0,3,7.5,1,Yes,No,1,3.43,W23
4/3/2023,4,4,7.5,1,Yes,No,5,6.28,W23
4/4/2023,0,3,8.5,2,Yes,Yes,5,3.34,W23
4/5/2023,2,7,9,0,Yes,No,5,1.07,W23
4/6/2023,7,5,10,1,Yes,No,4,3.24,W23
4/7/2023,0,3,10,2,Yes,Yes,4,1.88,W23
4/8/2023,0,2,8,0,Yes,Yes,1,2.78,W23
4/9/2023,0,5,10,0,Yes,Yes,1,1.23,W23
4/10/2023,4,5,9,1,Yes,Yes,1,7.06,W23
4/11/2023,0,0,8.75,1,No,No,2,4.99,W23
4/12/2023,0,0,9,1,No,No,2,2.01,W23
4/13/2023,0,0,7.25,1,No,No,2,2.59,W23
4/14/2023,0,0,7.5,1,No,No,5,4.46,W23
4/15/2023,0,0,8,1,No,No,4,6.78,W23
4/16/2023,0,0,8,1,No,No,3,2.34,W23
4/17/2023,0,0,7.5,1,No,No,5,7.19,W23
4/18/2023,0,0,7.5,0,No,No,1,1.64,W23
4/19/2023,0,0,8.5,1,No,No,3,5.66,W23
4/20/2023,0,0,7.5,1,No,No,2,2.56,W23
4/21/2023,0,0,7.5,1,No,No,4,6.55,W23
4/22/2023,0,0,8,1,No,No,5,10.03,W23
4/23/2023,0,0,8,1,No,No,4,6.42,W23
4/24/2023,0,0,7.75,1,No,No,4,6.14,W23
4/25/2023,0,0,8,1,No,No,1,2.14,W23
4/26/2023,0,0,9.5,1,No,No,5,6.8,W23
4/27/2023,0,0,9.05,1,No,No,4,2.41,W23
4/28/2023,0,0,8.9,1,No,No,3,5.97,W23
4/29/2023,0,0,8,1,No,No,2,8.49,W23
4/30/2023,0,0,8,1,No,No,5,9.4,W23
5/1/2023,0,0,7.9,1,No,No,5,5.69,W23
5/2/2023,0,0,8.9,1,No,No,1,2.34,W23
5/3/2023,0,0,9.1,1,No,No,1,3.16,W23
5/4/2023,0,0,7.75,1,No,No,5,4.86,W23
5/5/2023,0,0,6.75,1,No,No,5,4.18,W23
5/6/2023,0,0,8,1,No,No,5,7.14,W23
5/7/2023,0,0,8,0,No,No,1,0.74,W23
5/8/2023,0,0,9.05,1,No,Yes,5,5.94,S23
5/9/2023,6,0,7.5,0,No,Yes,4,2.61,S23
5/10/2023,0,0,9,1,No,Yes,5,3.24,S23
5/11/2023,7,0,8.6,1,No,Yes,5,1.55,S23
5/12/2023,2,3,8.7,2,No,Yes,5,9.13,S23
5/13/2023,0,2,6.5,3,Yes,Yes,3,11.97,S23
5/14/2023,0,0,9,1,No,Yes,1,4.54,S23
5/15/2023,0,5,7.5,1,No,Yes,2,5.6,S23
5/16/2023,6,4,8.1,1,No,Yes,2,5.45,S23
5/17/2023,0,4,7.8,1,No,Yes,5,3.31,S23
5/18/2023,7,2,8.2,1,No,Yes,5,3.17,S23
5/19/2023,2,5,8,2,No,Yes,5,11.1,S23
5/20/2023,0,4,7,1,No,Yes,3,9,S23
5/21/2023,0,0,8,1,No,Yes,5,4.89,S23
5/22/2023,0,0,7.4,2,No,Yes,5,2.16,S23
5/23/2023,6,4,10,2,No,Yes,4,3.85,S23
5/24/2023,0,4,7,1,No,Yes,2,2.56,S23
5/25/2023,7,0,8,2,No,Yes,1,2.26,S23
5/26/2023,2,2,7.5,2,No,Yes,1,5.45,S23
5/27/2023,0,0,8.2,4,No,Yes,5,10.97,S23
5/28/2023,0,6,7.75,0,No,Yes,1,2.2,S23
5/29/2023,0,6,7.4,1,No,Yes,1,7.46,S23
5/30/2023,6,0,7.5,1,No,Yes,3,4.76,S23
5/31/2023,0,4,6.5,2,No,Yes,1,6.63,S23
6/1/2023,7,2,8,0,No,Yes,1,1.64,S23
6/2/2023,2,5,9,3,No,Yes,2,8.09,S23
6/3/2023,0,5,8.1,2,No,Yes,2,10.24,S23
6/4/2023,0,4,7.9,2,No,Yes,1,9.97,S23
6/5/2023,0,5,8.5,1,No,Yes,3,7.9,S23
6/6/2023,6,5,6.5,0,No,Yes,2,4.79,S23
6/7/2023,0,5,9,1,No,Yes,3,4.62,S23
6/8/2023,7,4,8.5,0,No,Yes,5,1.43,S23
6/9/2023,2,6,6,2,No,Yes,5,8.56,S23
6/10/2023,0,0,8,3,No,Yes,5,10.33,S23
6/11/2023,0,6,6.5,2,No,Yes,5,7.11,S23
